Common Name,Scientific Name,Flower  Colour,Bloom Time,Height,Light,Moisture,Chelsea Chop?,Perrenial/Annual,Ontario native?,Locally Native?,Deer Resistant?,Ecological Benefit,Additional information
Black-eyed Susan,Rudbeckia hirta,Bright yellow petals with a dark brown/black central cone,Early summer through early fall,"12-36""",Full   sun;  tolerates light shade,"Average to dry, drought  tolerant once  established",Yes,Short-lived perennial (often biennial),Yes,Yes,Young plants may be browsed,Supports a wide range of pollinators. Provides seeds for birds.  Supports some generalist moth and butterfly larvae,"Adapts to a wide range of soils, but prefers well-drained conditions."
Lance-leaved Heal All,Prunella  vulgaris var. lanceolata,Violet to purple,Early summer through early fall,"4-12""",Full sun to part shade,Average to dry,No,Perennial,Yes,Yes,Somewhat,"Great pollinator plant, especially for native bees. Provides consistent nectar over a long bloom period.",Useful in pollinator lawns and low-growing meadow plantings.
Spotted Bee Balm,Monarda punctata,Pale yellow flowers with purple spots. Surrounded by showy pink to lavender bracts (often mistaken for petals),Mid summer  through early fall,"12-36""",Full sun,Medium to dry. Drought tolerant when established,Yes,Short-lived perennial (often biennial),Yes,No,Yes,"Important for the beebalm digger bee,  Monarda punctata specialist bee (Dufourea monardae)",Does not tolerate wet soils
Showy  Tick Trefoil,Desmodium canadense,Pink to rosy-purple,Mid to late  summer,"24–60""",Full sun to part shade,"Average, but may tolerate some dry conditions once estabblished",Yes,Perennial,Yes,Yes,"Moderate resistance (not a preferred food, but may be browsed)","Hosts caterpillars of several skipper butterflies (e.g., Silver-spotted Skipper). Nitrogen-fixing legume → improves soil fertility
Excellent nectar source for native bees and butterflies
Seeds eaten by birds and small mammals",Deep roots make it drought-tolerant and good for prairie restoration. Works well in meadow or naturalized plantings
Rough Blazing Star,Liatris aspera,Purple to lavender (occasionally pinkish),Late summer to early fall,"24–48""",Full sun to very light  shade,"Average  to dry (It is exceptionally drought-tolerant, naturally thriving in sandy, rocky, and poor nutrient-deficient soils. It cannot tolerate waterlogged winter conditions.)",No,Perennial,Yes,No,Yes,"Outstanding nectar plant for butterflies (especially Monarch butterflies during migration). Attracts native bees and beneficial insects. Seeds eaten by birds. It is a preferred food source for Tiger Swallowtails, Clouded Sulphurs, Painted Ladies, and Red Admiral. "," Great for prairie gardens and sandy/poor soils. Especially good paired with coneflowers and prairie grasses. fluffy seed heads (pappus) remain upright through the winter, providing critical cold-season seeds for songbirds like finches."
Pearly Everlasting,Anaphalis margaritacea,"White bracts with yellow centers (the ""petals"" are actually tough, dry, pearl-white bracts surrounding tiny yellow center discs)",Mid summer to mid fall ,"12–24"" ","Full sun to part shade (It produces the most compact, silver-dense growth when grown in full sun.)","Average  to dry (It is extremely drought-tolerant and functions exceptionally well in poor, sandy, gravelly, or stony soils where other plants fail. It spreads via underground rhizomes but controls its own growth in highly dry locations.)",Yes,Perennial,Yes,Yes,Yes,"It serves as a primary larval host plant for both the American Lady (Vanessa virginiensis) and Painted Lady (Vanessa cardui) butterflies. The caterpillars feed on the woolly leaves and weave them together with silk to create protective larval ""tents"".","Silvery foliage adds visual contrast in gardens. “Everlasting” flowers retain shape when dried (great for arrangements). Spreads by rhizomes—can form colonies over time. Left standing through winter, the sturdy, cottony stalks provide structure for overwintering native insects to harbor within, while the remaining seed heads feed local wintering songbirds."
Tall Bellflower,Campanulastrum americanum,Light blue to violet,Mid to late summer ,"24–72""",Full  to part shade. It can tolerate full sun only in cooler climates if the soil remains constantly damp,"Moist to medium wet. It thrives in rich, organic, well-draining soils that do not dry out completely.",Yes,"Short-lived perennial, which self-seeds",Yes,No,Yes,"Excellent nectar source for native bees, especially long-tongued bees. It is a vital food source for the bellflower resin bee (Megachile campanulae). This oligolectic, long-tongued bee exclusively visits plants within the Campanula genus to harvest pollen.","Prefers woodland edges, open forests (especially maple), moist edges near  streams, lightly disturbed  woodland openings. Spotty distribution across eastern  Ontario so may be locally rare in places.  The plant relies heavily on insect visitors for reproduction. It utilizes a complex mechanical strategy where its pollen matures and sheds before its curved, S-shaped stigma becomes receptive, ensuring genetic diversity through mandatory insect cross-pollination."
Spotted Joe Pye Weed,Eutrochium maculatum,Dusty pink to mauve-purple (in large dome-shaped clusters),Mid to early fall,"48–84""",Full sun to part shade,"Average to wet (thrives in boggy spaces, riverbanks, and rain gardens, though it can adapt to average, organic garden soil provided it does not completely dry out.)",Yes,Perennial,Yes,Yes,Yes,"Exceptional nectar source for butterflies (especially monarchs), bees, and other pollinators. The foliage hosts nearly three dozen species of moths and butterflies. It is a critical host plant for the caterpillars of the Ruby Tiger Moth (Phragmatobia fuliginosa), Clymene Moth, and the Blazing Star Borer Moth.","Native to wetlands, meadows, and stream edges across eastern North America. Sturdy upright stems often have purple spotting (hence the name). Can form impressive clumps over time but is not aggressively spreading. Excellent for rain gardens and low areas with poor drainage. Its thick, fibrous root system anchors exceptionally well in wet soils, preventing erosion along fragile shorelines, riverbanks, and marshy habitats. "
Swamp Milkweed,Asclepias incarnata,Pink to rosy-mauve ,Mid summer to early fall,"36–60""",Full sun to part shade,Average to wet (prefers consistently moist soil; tolerates occasional flooding),Yes,Perennial,Yes,Yes,Yes,"One of the most important plants for monarch conservation. Critical host for: Monarch butterfly (Danaus plexippus), Queen butterfly (less common in the north). Also supports milkweed tussock moth and other specialist insects. It heavily supports honeybees, bumblebees, swallowtail butterflies, and hummingbirds.","Excellent for rain gardens, pond edges, or moist borders. Its extensive, deep root system holds unstable soils firmly together along wet pond edges and banks, working to mitigate shoreline erosion and trap agricultural runoff. The inner bark contains tough, durable fibers that songbirds use for weaving nests. Once dead stems go dormant in winter, their hollow structures provide nesting tubes for stem-nesting native solitary bees."
Smooth Blue Aster,Symphyotrichum laeve,Lavender-blue to violet with yellow centers ,Late summer to fall,"24–48""",Full sun to part shade,"Average to dry (very drought-tolerant once established). It is highly versatile and handles sand, loam, and heavy clay loam well, provided it has good drainage. It is extremely drought-tolerant.",Yes,Perennial,Yes,Yes,Yes,"Hosts many specialist and generalist species, including: Pearl Crescent butterfly, Silvery Checkerspot. Numerous moth species (asters are major larval hosts). ",Critical late-season nectar source for bees and butterflies. Supports migrating monarchs fueling up before departure. One of the most important genera (Symphyotrichum) for supporting insect biodiversity. 
Downy  Wood Mint,Blephilia ciliata,Pale lavender to light purple,Late spring to mid summer,"12–24""",Full sun to part shade,Average to dry (very drought-tolerant once established),Yes,Perennial,Yes,No,Yes,"Its flowers are a magnet for long-tongued and short-tongued bees, anthophorine bees, little carpenter bees, and leaf-cutting bees.","Great for rock gardens, dry borders, and woodland edges. It is much more sun-tolerant than Hairy Wood Mint and can comfortably thrive in bright, open meadow environments. Unlike aggressive garden mints, it stays in well-behaved, non-invasive clumps that spread very slowly via a central taproot and short rhizomes. The heavily scented mint foliage acts as a natural aromatic pest confuser. Planting it in agricultural edges or polyculture gardens helps mask the scent of nearby crops, making it harder for destructive pest insects to locate their target plants"
Hair Wood Mint,Blephilia hirsuta,White,Mid summer to early fall,"18–36""",Part sun to full shade,Average to moist. ,Yes,Perennial,Yes,No,Yes,"High ecological value as a crucial late-summer pollinator resource for low-light habitats and a provider of vital nesting structures for native insects. The deep, tubular shape of the flowers is uniquely suited for specialist long-tongued bees. It heavily supports native species like mason bees, leaf-cutter bees, bumblebees, and little carpenter bees.","Prefers soils rich with organic matter, but can grow in rocky soils as  long as they aren't too dry. Valuable for woodland-edge pollinator communities. Well-suited for woodland gardens, shaded borders, and naturalized areas. It spreads gently over time via underground rhizomes to form attractive, dense native colonies without being aggressively invasive like non-native garden mints."
Pale Corydalis,Capnoides sempervirens,Pink  &  yellow,Spring through early fall,"12-36""",Full sun to part shade,Average to very dry,No,"Technically a biennial (living for two years) or a short-lived annual, but it self-seeds readily, allowing it to persist in a garden much like a perennial.",Yes,Yes,Yes,"Pioneer species, meaninig it is one of the first plants to colonize ""disturbed"" areas, such as recently burned forests or rocky clearings. It provides immediate erosion protection while its non-competitive nature allows other native plants to naturally succeed it over time.  The highly fragrant mint oils in the foliage function as an aromatic pest confuser. The powerful scent masks the smell of neighbouring plants, making it harder for destructive garden pests to track down nearby vegetation","The nectar-rich, tubular flowers are a vital food source for long-tongued bees (especially bumblebees) and Skipper butterflies. Because it has an exceptionally long bloom time—often from May until the first freeze—it provides a reliable, late-season energy source when other flowers have finished. The seeds feature an elaiosome (a fleshy, nutrient-rich ""food package""). Ants carry these seeds back to their nests to eat the elaiosome, effectively planting the seeds in protected, nutrient-rich underground locations away from predators like mice or birds."
Upland White  Goldenrod,Oligoneuron album (formerlh called Solidago ptarmicoides),White daisy-like flowers with creamy or pale yellow centres,Mid summer  through early fall,"12-24""",Full sun but can tolerate light shade,Average to dry conditions,Yes,Perennial,Yes,Yes,Yes,"Keystone species - It is a critical larval host plant, supporting the caterpillars of over 100 species of moths and butterflies. Provides late season nectar for Monarch butterflies and pollinators. Nearly 40 species of specialist bees that rely exclusively on their specific pollen to provision their nests for the next generation. The deep, fibrous root system is exceptionally effective at preventing soil erosion and improving soil structure in rocky or sandy ","It naturally occurs in specialized environments common to Eastern Ontario, such as alvars (rare limestone plain ecosystems), rocky shorelines, and dry prairies. After the flowers fade, the seed heads persist through the winter, providing important forage for songbirds, especially American Goldfinches."
Common Sneezeweed,Helenium autumnale,Bright yellow daisy-like flowers,Late summer through fall,"24-48""",Full sun,Moist to wet organic soils; it is not drought-tolerant and is a perfect choice for rain gardens or pond edges.,Yes,Perennial,Yes,Yes,Yes,"Its late-season pollen and nectar are a vital lifeline for honeybees, bumblebees, and a massive array of native long-tongued and short-tongued bees preparing for winter. It serves as a critical larval host plant for several native insects, including the Dainty Sulphur butterfly (Nathalis iole), the Painted Lady butterfly (Vanessa cardui), and the Rigid Sunflower Borer moth.","Despite its unfortunate common name, it does not cause hay fever or sneezing. Its pollen is heavy and sticky, meaning it is transported exclusively by insects rather than the wind. Highly tolerant of seasonal flooding and heavy clay. It will require supplemental watering if planted in dry garden beds. Strong, fibrous root system helps stabilize soil along shorelines and in flood-prone areas"
Obedient Plant,Physostegia virginiana,"Pink, lavender, or white",Late summer through fall,"24-48""","Full sun to part shade. It may get ""floppy"" and need staking or Chelsea Chop in too much shade.","Prefers medium to wet soil. It loves consistent moisture and is quite happy in clay or boggy areas, though it can tolerate average garden soil.",Yes,Perennial,Yes,Yes,Yes,Hummingbird and pollinator magnet (especially long-tongued bees like bumblebees). Important source of nector for Monarch and Sulphur butterflies.,"Is wonderfully adaptable. It thrives beautifully in damp clay, wetlands, and wet meadows, yet it can tolerate short dry spells once established. a good rain garden plant. Spreads via underground rhizomes, making it excellent for stabilizing soil in wet ditches or along shorelines (though keep an eye on it in small gardens, as it can be aggressive!)."
White Prairie Clover,Dalea candida,White,Mid summer through early fall,"12-36""",Full sun but can tolerate light or partial shade.,Average to dry soils. It has a deep taproot (reaching up to 5 feet deep) that makes it exceptionally drought-tolerant once established.,No,Perennial,Yes,No,No,"As a legume, it has a symbiotic relationship with soil bacteria that allows it to ""fix"" atmospheric nitrogen into the soil. This acts as a natural fertilizer for surrounding plants. Provides high-quality nectar and pollen for native bees, including specialist bees, as well as butterflies and wasps. Host for several butterfly species.","deep taproot system acts as a natural anchor, making it exceptional for mitigating soil erosion on steep, dry slopes and fractured limestone terrains. Its high protein content makes it a valuable food source for both grazing mammals and birds like wild turkeys and grouse, who eat the seeds."
New England Aster,Symphyotrichum novae-angliae,Deep purple to lavender-pink with bright yellow-orange centres that turn reddish-purple with age,Late summer through fall,"24-48""",Full sun but can tolerate light or partial shade.,"Medium to moist. While it prefers damp areas like meadows and stream banks, it is surprisingly adaptable to various soil types, including clay and sandy loam, once established.",Yes,Perennial,Yes,Yes,Yes,"Keystone Pollinator Support: It is a critical late-season nectar source for migrating Monarch butterflies and a variety of native bees and skippers preparing for winter. Larval Host: It serves as a host plant for over 100 species of butterflies and moths, including the Pearl Crescent and various checkerspot butterflies.","Its seed heads provide food for songbirds, and the dried stalks offer winter shelter for small beneficial insects."
Pale Purple  Coneflower,Echinacea pallida,"Pale pink to lavender-purple flowers with long, narrow petals that droop downward from a coppery-orange central cone.",Summer through early fall,"36-60""",Full sun,Average to dry. Its deep taproot makes it one of the most drought-hardy perennials for sunny spots.,Yes,Perennial,Yes,No,Yes,"It is a critical early-summer nectar source for bumblebees, honeybees, and butterflies. It serves as a larval host for the Silvery Checkerspot butterfly and provides food for the Ottoe Skipper, an endangered butterfly in Canada. : The deep taproot helps aerate compacted soil and improves water infiltration. ","If seed heads are left over winter, they provide important food for goldfinches and other songbirds."
Grey-headed Coneflower,Ratibida pinnata,Yellow,Summer through early fall,"36-60""",Prefers full sun (at least 6 hours of direct light) but can tolerate partial shade.,"Average to dry. It is exceptionally drought-tolerant and can thrive in clay, sand, or rocky environments.",Yes,Perennial,Yes,No,Yes,"Provides critical nectar and pollen for native bees, bumblebees, and butterflies. Serves as a larval host for the Silvery Checkerspot butterfly and various moths, including the Wavy-lined Emerald. Its deep, fibrous root system helps stabilize soil and prevent erosion.","In autumn and winter, the seed heads are a favorite food source for goldfinches and other songbirds."
Prairie  Coneflower,Ratibida columnifera,"Yellow (can be dark red, or bi-colour (red-brown at the base and yellow at the ends) surrounding a long, dark-brown central disk.)",Early summer through fall,"12-36""","Prefers full sun for sturdy growth and prolific flowering, though it can tolerate light shade.","Average to dry - is highly drought-tolerant due to its deep taproot but adapts well to a variety of well-drained soils, including clay and sandy loam.",Yes,Perennial,No. Considered a 'near native'.,No,Yes,"Recognized as a favorite for large numbers of native beesand butterflies. Its long bloom season provides a steady supply of nectar and pollen. Serves as a larval host for the Dainty Sulphur butterfly. Due to its deep taproot and resilience, it is frequently used for soil stabilization and land reclamation in disturbed sites.","In autumn and winter, the mature seed heads are relished by goldfinchesand other small songbirds."
Cut-leaf Coneflower,Rudbeckia laciniata,"Bright yellow daisy-like flowers with distinctive, drooping petals surrounding a prominent pale green central cone that eventually turns brown as seeds ripen.",Mid summer  through fall,"36-72""",Full sun to full shade,"Average to wet. It is naturally found in floodplains and along streambanks, so it appreciates consistent moisture and can even tolerate seasonal flooding.",Yes,Perennial,Yes,Yes,Yes,"Keystone species - is a powerhouse for biodiversity, attracting a wide variety of native bees, butterflies, and wasps for its nectar and pollen. Serves as a larval host for the Silvery Checkerspot butterfly and several moth species, including the Wavy-lined Emerald. : Its vigorous, rhizomatous root system is outstanding for stabilizing streambanks and preventing soil erosion in flood-prone areas.","Cut-leaf Coneflower is an absolute powerhouse for wetland and riparian biodiversity. Its mature seed heads are a favorite food source for songbirds, particularly American Goldfinches, throughout the autumn and winter months."
Lance-leaved Coreopisis,Coreopsis lanceolata,"Bright, sunny, yellow flowers with distinctively notched edges on the petals.",Late spring through early fall,"12-36""","Prefers full sun (at least 6 hours of direct light). It can handle very light shade, but too much shade makes the stems weak and floppy.","Average to dry.  It is exceptionally drought-tolerant and actually prefers poor, sandy, or rocky soils over rich, heavy garden soil.",Yes,Perennial,Yes,Yes,Yes,"It is a high-value plant for native bees (including sweat bees and leafcutter bees) and attracts numerous butterflies and hoverflies. It serves as a larval host for several species of moths, including the Common Tan Wave. Because it can grow in poor, sandy soils where other plants struggle, it is excellent for stabilizing slopes and sandy banks.","The small, dark seeds are a favorite for songbirds, especially goldfinches, if the seed heads are left standing in the fall."
3-lobed Black-eyed Susan,Rudbeckia triloba,"Numerous small, golden-yellow flowers (about 1–2 inches wide) with dark, chocolate-brown central disks.",Mid summer  through fall,"24-60""",Prefers full sun to partial shade. It is more shade-tolerant than the common Black-eyed Susan (R. hirta).,"Average though it is quite adaptable. It can handle clay, loamy, or slightly rocky soils and has moderate drought tolerance once established.",Yes,"It is a short-lived perennial (often behaving as a biennial), but it self-seeds reliably, ensuring it stays in your garden for years. ",No. Considered a 'near native'.,No,Yes,"Because it blooms so late and so profusely, it is a vital nectar source for bees, wasps, and butterflies preparing for winter or migration. It supports several species of Andrena bees (mining bees) that specialize in the Asteraceae family. Like its relatives, it serves as a larval host for the Silvery Checkerspot butterfly.","The abundance of small seeds makes it a high-value winter food source for songbirds, including chickadees and finches."
Little Bluestem,Schizachyrium scoparium,Purplish-bronze flower spikes,Late summer through fall,"12-36""",Requires full sun. It is highly shade-intolerant; too much shade or overly rich soil causes its stiff stems to lose their structure and flop over., Average to dry soils,Yes,Perennial,Yes,Yes,Yes,"Larval host plant for several butterfly species. Its fuzzy, high-energy seed heads remain standing high above the snow line through the winter. This provides a vital winter food supply for native songbirds like juncos, finches, and various sparrows.","Beyond its ecological metrics, it is loved for its dramatic, shifting color palette. It emerges a striking steel-blue or silver-green in spring, and shifts into a breathtaking mosaic of copper, blazing orange, and burgundy-red after the autumn frosts arrive"
,,,,,,,,,,,,,
Big Bluestem,Andropogon gerardii,"Glossy, purplish to reddish-bronze flower clusters. They split into a distinctive three-pronged shape that strongly resembles a turkey's foot.",Late summer through fall,"48-96""",Full sun. It can tolerate partial shade,Prefers dry to medium moisture. ,Yes,Perennial,Yes,Yes,Yes,"A powerhouse for regional wildlife, serving multiple trophic levels.t is a vital food source for caterpillars of several native butterflies, including the Delaware Skipper and Dusted Skipper. At least 24 species of native songbirds rely on it. Large seedheads provide critical autumn and winter food for sparrows, wrens, and meadowlarks, while the dense foliage serves as high-quality nesting shelter. Its incredibly deep, fibrous root systems (reaching down up to 10 feet) naturally mitigate soil erosion. ","Too much shade or overly fertile soil will make the tall stems weak and prone to falling over.  It is highly versatile, growing in anything from moist sandy loam to dry clay, and boasts excellent drought tolerance once established. Cut the grass down by half its height in late June or early July using hedge shears or a high-clearance mower. This temporarily stalls growth, causing the plant to bloom at a shorter, more manageable height with denser foliage."
,,,,,,,,,,,,,
False Yellow  Sorghum,Sorghastrum nutans,"Airy, feathery golden-yellow to bronze flower plumes highlighted by bright yellow stamens. The seedheads fade to a warm chestnut brown as winter approaches. ",Late summer through fall,"36-60""",Full sun.,"Prefers dry to medium moisture. It is highly versatile, adapting easily to anything from dry clay ridges to moist sandy soils, and possesses outstanding drought tolerance once its deep roots establish",Yes,Perennial,Yes,Yes,Yes,"It acts as a critical larval host plant for native skipper butterflies, including the Pepper and Salt Skipper, Ottoae Skipper, and Dusted Skipper. The heavy, dense seed plumes provide critical winter foraging for local songbirds long after other food sources have vanished.Leaving its rigid, tall vertical straw standing through the snow provides essential nesting structure, windbreaks, and cover for wildlife during harsh winters.","Like Big Bluestem, too much shade or overly fertile soil causes its tall vertical stems to weaken and flop. Plant it shoulder-to-shoulder with other competitive native species to limit its underground spread and give the stems physical support. Much like Big Bluestem, its dense fibrous root systems lock down loose soil particles, making it exceptional for stabilizing dry slopes, shorelines, or rocky meadows."
,,,,,,,,,,,,,
Canada Wild Rye,Elymus canadensis,"Bristly, heavy greenish-gold flower spikes. As the season turns to autumn, the entire plant and its nodding heads fade to a handsome, bronzy, sandy tan",Mid to late summer,"24-60""",Full sun to partial shade. It tolerates a half-day of shade much better than many other prairie grasses,"Highly versatile, growing in dry, medium, or moist soils. It tolerates both extreme drought and occasional high water levels near shorelines",Yes,"Perennial (short-lived, but self seeds)",Yes,Yes,Yes,"The foliage serves as a larval host for several regional butterfly and moth species, including the Northern Pearly Eyebutterfly. It possesses a highly fibrous root system that makes it a superstar for erosion control. The large, nutrient-rich seed spikes are a primary food source for native songbirds, small mammals, and declining prairie species like the Bobolink. Because it is a cool-season grass, it greens up very early in the spring long before other native grasses wake up. This provides vital early cover for ground-nesting birds.",
,,,,,,,,,,,,,
Bottlebrush Grass,Elymus hystrix,"Bright, pale green flower spikes that age to a beautiful straw-coloured tan or light brown by autumn",Early to mid-summer ,"24 - 48""","Partial sun to full shade. Unlike the sun-loving prairie giants, this grass is exceptionally shade-tolerant and thrives under a woodland canopy",Prefers dry to medium moisture. It handles dry woodland shade very well once its roots settle.,Yes,Perennial,Yes,Yes,Yes,"It is an incredibly vital larval host plant for the caterpillar stage of the Northern Pearly Eye butterfly, alongside several native woodland moths. Because it grows where other grasses cannot survive, it provides critical low-growing architectural cover and nesting structure for ground-nesting woodland birds and small amphibians. In late autumn and winter, local songbirds feed heavily on the grain-like seeds that cling to the rigid, upright stalks. ","Naturally grows along the edges of sugar maple forests, semi-shaded rocky slopes, and oak-hickory savannah fragments. If planted in deeper, drier shade, it naturally holds a shorter, delicate 2-foot profile. If you plant it in rich soil with full sun, it will stretch closer to 4 feet. It is entirely immune to juglone, the toxic chemical produced by Black Walnut trees (Juglans nigra), making it a premium native choice for stabilizing the ground under tricky walnut canopies."
,,,,,,,,,,,,,
Prairie Dropseed,Sporobolus heterolepis,"Highly unique, open-branching panicles in shades of pinkish-brown, gold, and green",Late summer through mid fall,"12-16"" (flower stalks stand 24-36"")",Full sun,"Prefers dry to medium moisture. It is exceptionally drought-tolerant and heat-tolerant due to its deep root system, and thrives in rocky or lean soil.",No,Perennial,Yes,No,Yes,"True to its name, its tiny, round, nutritious seeds ""drop"" straight to the base of the clump in autumn. This creates a vital autumn and winter feeding ground for ground-foraging native songbirds like sparrows and juncos. t provides crucial larval food for several rare or declining native prairie butterflies, specifically the Leonard’s Skipper and the Dusted Skipper. Its fine-textured roots tolerate heavy clay, road salt, and drought, making it an excellent native choice for borders along driveways or problematic rocky slopes.","While it is natively adapted to the southern and eastern regions of Ontario, wild populations are mostly restricted to undisturbed remnant tallgrass prairies, open savannahs, and specialized limestone alvars. Because the Westport and Frontenac Arch regions feature rocky, thin soils over limestone or granite, Prairie Dropseed is perfectly suited to local gardens. Planting it helps reintroduce an ecologically valuable species that has faced habitat loss across the province.t is notoriously slow to mature, often taking 2 to 3 years to establish from a small seed or plug into a full, dramatic fountain shape. Avoid over-watering or over-fertilizing to speed it up; rich conditions will only weaken its structural rigidity."
